 z         0         1         2         3         4
 K         3.691356  3.420244  3.571959  3.803666  3.955380  3.691356
 mu        0.035061  0.035061  0.035061  0.035061  0.035061
 output    1.518796  1.439188  1.459316  1.577902  1.597775
 invest    0.325615  0.681306 -0.074304  0.757683 -0.082280
 stock     2.292066  4.691641  4.730465 -0.097681 -0.156159
 bonds     1.503423 -1.171532 -1.054213  4.012407  4.227029
 cons      1.147559  1.438823  1.455869  0.841252  0.854292
 r         0.085603 -0.048218  0.313075 -0.141725  0.219983
 rf        0.050542 -0.015849 -0.019779  0.121040  0.117568  0.050542
 wage      1.012126  0.959075  0.972488  1.051514  1.064757
 pens      0.083410  0.079038  0.080144  0.086656  0.087748
 tau       0.020000  0.020000  0.020000  0.020000  0.020000
 welf      3.58E+02  3.51E+02  3.51E+02  3.65E+02  3.65E+02
 err_K     F         F         F         F         F
 err_mu    F         F         F         F         F
 Phi_1     6.95E-04  6.95E-04  6.95E-04  6.95E-04  6.95E-04
 Phi_nx    0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
 B         0.005468  2.531388  2.474389 -2.500106 -2.654408
 err_inc   1.46E-16  1.54E-16  0.00E+00  0.00E+00  0.00E+00
 err_aggr  2.14E-03 -4.99E-01  2.25E-02 -4.43E-02  4.88E-01
 bequests  4.24E-02  3.67E-02  4.49E-02  4.89E-02  4.64E-02
